=== CUDA TIME TOTAL ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             aten::convolution_backward         0.24%       6.101ms         0.56%      14.227ms     169.365us       5.342ms         1.31%       6.261ms      74.539us            84  
_ZN6natten4cuda4gemm6KernelIN7cutlass4arch4Sm80ENS1_...         0.00%       0.000us         0.00%       0.000us       0.000us       4.754ms         1.17%       4.754ms      33.011us           144  
                        ampere_sgemm_64x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us       4.558ms         1.12%       4.558ms       5.755us           792  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       4.111ms         1.01%       4.111ms       2.051us          2004  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.736ms         0.92%       3.736ms     311.327us            12  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us       3.732ms         0.92%       3.732ms     103.677us            36  
      NeighborhoodAttention1DAVAutogradFunctionBackward         0.33%       8.296ms         0.59%      15.049ms     209.019us       3.722ms         0.91%       3.876ms      53.837us            72  
                                 aten::_index_put_impl_         0.23%       5.862ms         6.29%     159.870ms     666.125us       3.420ms         0.84%       5.355ms      22.311us           240  
                                          aten::nonzero         0.64%      16.254ms         6.43%     163.383ms     316.634us       3.241ms         0.80%       3.241ms       6.280us           516  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us       3.135ms         0.77%       3.135ms       6.075us           516  
                                aten::native_layer_norm         0.72%      18.404ms         1.49%      37.894ms      50.933us       3.007ms         0.74%       3.180ms       4.274us           744  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       3.007ms         0.74%       3.007ms       4.396us           684  
                                            aten::fill_         0.49%      12.459ms         1.15%      29.202ms      14.148us       2.965ms         0.73%       2.965ms       1.437us          2064  
void at::native::(anonymous namespace)::GammaBetaBac...         0.00%       0.000us         0.00%       0.000us       0.000us       2.893ms         0.71%       2.893ms      17.218us           168  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.867ms         0.70%       2.867ms       1.562us          1836  
                                             aten::add_         0.63%      15.891ms         1.00%      25.464ms       3.894us       2.863ms         0.70%       2.863ms       0.438us          6540  
                                  ampere_sgemm_64x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       2.762ms         0.68%       2.762ms     230.184us            12  
_ZN6natten4cuda4gemm6KernelIN7cutlass4arch4Sm80ENS1_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.715ms         0.67%       2.715ms      18.854us           144  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.648ms         0.65%       2.648ms       2.942us           900  
      NeighborhoodAttention1DQKAutogradFunctionBackward         0.25%       6.389ms         0.39%       9.870ms     137.082us       2.579ms         0.63%       2.579ms      35.825us            72  
                                            aten::index         0.27%       6.804ms         1.41%      35.816ms     129.768us       2.504ms         0.62%       4.237ms      15.352us           276  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.504ms         0.62%       2.504ms      10.981us           228  
                                              aten::mul         0.88%      22.376ms         1.37%      34.718ms      19.681us       2.491ms         0.61%       2.491ms       1.412us          1764  
              NeighborhoodAttention1DQKAutogradFunction         0.28%       7.224ms         0.52%      13.222ms     183.638us       2.381ms         0.58%       2.730ms      37.918us            72  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.366ms         0.58%       2.366ms       1.517us          1560  
